ra,dec,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,bp_rp,proba,cluster,teff50
0.48727863269981203,-30.202204802613767,2320834304798813568,14.204664084375215,-78.724410160546,4.238098723573989,0.05446125136942675,18.547394021235352,0.057343810409223046,2.266228824892491,0.0711363276430531,,,-0.07861891,0.46300644,0.23349094,-0.18689631,-0.4996694,0.18628003,0.6431813,-0.091729656,-0.6325107,0.24317254,226,14.8853035,1.8084259,1.0,Blanco_1,3983.8748
0.5154980413152429,-30.173593954450087,2320834476597503232,14.320074326610134,-78.75450475298919,4.133583007203255,0.050174829935566274,19.49845049505769,0.056482439373246304,2.727430117055544,0.053618343322396914,,,-0.114955425,0.62200737,0.32218492,-0.27018204,-0.259985,0.024754182,0.40561754,0.044353034,-0.4775358,0.09587152,216,14.639164,1.7927942,1.0,Blanco_1,4035.4392
0.5176619619019146,-30.176205613882892,2320834476597504256,14.30490208428414,-78.75575647824805,4.2496986459094925,0.04423186943853401,18.24000452280433,0.052401950027442544,2.845261718606057,0.046356869627795436,,,-0.102793194,0.6257429,0.2247232,-0.26734334,-0.22888738,0.044199076,0.3832991,0.03482536,-0.48169845,0.08328022,210,13.996653,1.4598732,1.0,Blanco_1,4754.131
0.4773986451569162,-30.17734629668683,2320834614036455424,14.338275159986724,-78.72154626880197,3.8998604802395533,0.21190007264431526,18.32110087590465,0.24170815613810293,3.354726759168825,0.2335093845366493,,,-0.12187625,0.59657085,0.43827003,-0.27298295,-0.27400845,-0.026057309,0.4309945,0.047019508,-0.43884772,0.094891965,219,17.36302,2.8228016,1.0,Blanco_1,3141.5798
0.4907240228108417,-30.157955055836076,2320834751475408128,14.42224493841792,-78.73701907172637,4.183224645754914,0.11327876968963224,18.00324424904574,0.10252919534753045,2.3274159666137417,0.11203041250178597,7.63547067842285,1.4996753371795044,0.45107207,0.78740966,0.5606883,0.1478482,0.41359314,0.36066705,0.62784857,0.38549697,0.022446394,0.29135975,141,9.881991,0.45733166,1.0,Blanco_1,7241.668
0.23993834000729794,-30.12331502072697,2320837981290805760,14.828421163002945,-78.53249544695029,4.253995302484519,0.12557122007744215,18.551117533624822,0.1626074871449139,2.0237298036935507,0.14451212043550066,,,-0.09073227,0.5540919,0.43166807,-0.14791742,-0.20524915,0.008196645,0.40873158,0.08674408,-0.31267157,0.12422335,231,16.923195,2.8658905,0.9,Blanco_1,3120.0557
0.41614458121572034,-30.07734423578057,2320838943363481984,14.894955489059626,-78.6911777304445,4.186712239090918,0.0391278316140908,19.047580643994362,0.05565819602959202,2.2561776240958573,0.045578760862942096,,,-0.19244017,0.49939466,0.47601348,-0.20390527,-0.29881915,-0.0067692935,0.51381385,0.029505286,-0.4341946,0.06301438,220,14.301308,1.5734711,1.0,Blanco_1,4221.5483
0.4727107422932027,-30.103555597232393,2320841520343862400,14.711361698954109,-78.73349893073767,4.209515217168278,0.05897199538760754,18.559148814889966,0.06539107447702736,2.592444227825262,0.06080894264580224,,,-0.15946893,0.6241788,0.3779845,-0.23678605,-0.3163432,-0.003032201,0.3982027,0.06323752,-0.4051773,0.09403342,221,15.093597,1.9135399,1.0,Blanco_1,3915.795
0.5320653356277348,-30.078495800013968,2320842001380199680,14.781110115995965,-78.78900187739427,4.085684742604923,0.12776647478100728,19.352111945217178,0.14797630242175355,2.893335336148525,0.13967934624247372,,,-0.12936509,0.6134291,0.34014827,-0.28007063,-0.25943545,0.013471099,0.4401314,0.01545811,-0.47782844,0.09487305,207,16.700794,2.5637693,1.0,Blanco_1,3314.7424
0.6175557789836394,-30.078729165394176,2320842551136015872,14.69867222421476,-78.86123461907452,4.0281828086179905,0.07159600022646115,18.33891472394082,0.08012538743712656,2.5597805451872255,0.06563380195863301,7.929589549540898,2.819779243815014,-0.102789976,0.6468929,0.15925023,-0.17723925,-0.17737591,0.08899217,0.379689,0.123376496,-0.38314646,0.028665084,201,12.706314,1.2692013,1.0,Blanco_1,5710.89
0.6047707241269479,-30.073172482035293,2320842619855491968,14.738984746711203,-78.85161274476533,4.096225181320643,0.2090485750277345,18.310731131789517,0.21958197262205958,2.9082233828925146,0.20032930032024174,,,-0.1768426,0.65405405,0.37170234,-0.26204538,-0.28856203,0.0062134545,0.48463717,0.026102567,-0.41667873,0.079265825,210,17.51159,2.976902,1.0,Blanco_1,3065.9075
0.40755987186500153,-29.95792936158804,2320846743024082560,15.499307553102216,-78.70824180876575,3.896652523591898,0.18984634929226096,19.528381533063193,0.3026347468910291,2.504816223276026,0.26524015954869407,,,-0.10914362,0.40777498,0.3757332,-0.13218933,-0.2609694,0.039670564,0.53728414,-0.09729083,-0.3375362,0.1282726,256,17.7119,3.094242,0.9,Blanco_1,3019.87
0.5056163667614387,-29.96537795571391,2320847224060422912,15.374734085030617,-78.78998307954282,4.1571068066837915,0.09764991267477277,18.59049769305284,0.16507962983041946,2.8332361052105846,0.13540217955654327,,,-0.15283927,0.3261459,0.45140323,-0.19274205,-0.29725903,-0.033275727,0.46830282,-0.15834625,-0.40430984,0.10349533,217,16.745634,2.5907211,1.0,Blanco_1,3312.031
0.5822503497007566,-29.935332307176118,2320847533296914560,15.457629138804563,-78.86107206901295,4.505684511974881,0.2883668396782915,19.232853760620465,0.4586583080337035,1.8272504351157721,0.3635956120835186,,,-0.0785449,0.35040373,0.41722316,-0.16049176,-0.23691994,-0.04054448,0.43109372,-0.12925124,-0.27651995,0.09092962,201,14.049922,1.6232634,1.0,Blanco_1,4897.5366
0.2306683002795544,-30.064157158561073,2320850144638182912,15.127962629421942,-78.53683302171746,4.324945355217529,0.0747087948422986,18.494912420028626,0.10799489249099137,2.428909816981472,0.07715131952710601,,,-0.11343278,0.5389697,0.34671798,-0.1934593,-0.17497136,-0.10571057,0.097989984,0.06913047,-0.24148731,0.035486046,220,8.403922,0.022565842,1.0,Blanco_1,9667.876
0.08360431082550288,-29.939293400288747,2320855676556049920,15.866801443555712,-78.43650966106854,4.538406317852451,0.173736841621503,17.418069702223445,0.2524953467340691,3.022030701122094,0.18347992998876328,,,-0.09783962,0.43397784,0.28415072,-0.20290452,-0.22625446,0.020552583,0.38888437,-0.023492824,-0.49501932,0.042981397,217,16.829916,2.8498936,0.8,Blanco_1,3217.198
